Date,Hour,Interval,Pr_WestHub,Pr_Lasso,MWh-PI,MWh-ERCOTRevMt,Scheduled,DST Flag
1/11/2020,1,1,1.26,0.63,0,0,0.00000,
1/11/2020,1,2,1.63,0.74,0,0,0.00000,
1/11/2020,1,3,1.22,-0.15,0,0,0.00000,
1/11/2020,1,4,1.65,0.43,0,0,0.00000,
1/11/2020,2,1,2.83,2.11,0,0,0.00000,
1/11/2020,2,2,3.53,2.45,0,0,0.00000,
1/11/2020,2,3,3.43,2.41,0,0,0.00000,
1/11/2020,2,4,2.5,1.38,0,0,0.00000,
1/11/2020,3,1,3.18,1.67,0,0,0.00000,
1/11/2020,3,2,3.4,1.68,0,0,0.00000,
1/11/2020,3,3,3.47,1.76,0,0,0.00000,
1/11/2020,3,4,2.99,1.83,0,0,0.00000,
1/11/2020,4,1,2.93,2.27,0,0,0.00000,
1/11/2020,4,2,2.12,2.12,0,0,0.00000,
1/11/2020,4,3,1.49,1.55,0,0,0.00000,
1/11/2020,4,4,0,0.06,0,0,0.00000,
1/11/2020,5,1,-0.01,0.05,0,0,0.00000,
1/11/2020,5,2,1.98,2.04,0,0,0.00000,
1/11/2020,5,3,2.54,2.61,0,0,0.00000,
1/11/2020,5,4,2.39,2.46,0,0,0.00000,
1/11/2020,6,1,2.53,3.43,0,0,0.00000,
1/11/2020,6,2,2.75,3.97,0,0,0.00000,
1/11/2020,6,3,8.47,9.9,0,0,0.00000,
1/11/2020,6,4,5.63,6.94,0,0,0.00000,
1/11/2020,7,1,7.16,8.53,0,0,0.00000,
1/11/2020,7,2,10.14,11.63,0,0,0.00000,
1/11/2020,7,3,10.28,11.78,0,0,0.00000,
1/11/2020,7,4,10.66,12.2,0,0,0.00000,
1/11/2020,8,1,12.63,14.27,0,0,0.00000,
1/11/2020,8,2,13.73,15.41,0,0,0.00000,
1/11/2020,8,3,14.46,16.16,0,0,0.00000,
1/11/2020,8,4,15.21,16.94,0,0,0.00000,
1/11/2020,9,1,15.55,17.29,0.2265,0.2391,0.20000,
1/11/2020,9,2,15.81,17.48,1.42675,1.48338,1.50000,
1/11/2020,9,3,16.27,17.55,3.00375,3.05286,3.10000,
1/11/2020,9,4,16.39,16.72,4.50925,4.5632,4.60000,
1/11/2020,10,1,16.9,18.21,6.178,6.2276,6.20000,
1/11/2020,10,2,16.97,18.66,7.71175,7.75704,7.80000,
1/11/2020,10,3,18.73,20.52,9.10825,9.13039,9.10000,
1/11/2020,10,4,19.35,21.16,9.46625,9.45372,9.50000,
1/11/2020,11,1,20.91,22.77,9.41175,9.40245,9.40000,
1/11/2020,11,2,22.51,24.43,9.38475,9.37908,9.40000,
1/11/2020,11,3,24.53,26.5,9.35025,9.33895,9.30000,
1/11/2020,11,4,27.32,29.4,9.27025,9.26219,9.30000,
1/11/2020,12,1,37.09,39.52,9.2165,9.20344,9.20000,
1/11/2020,12,2,23.87,23.86,9.1255,9.11015,9.10000,
1/11/2020,12,3,22.91,22.9,9.0035,8.98838,9.00000,
1/11/2020,12,4,22.3,22.34,8.91675,8.90433,8.90000,
1/11/2020,13,1,19.46,19.54,8.86625,8.8527,8.90000,
1/11/2020,13,2,19.22,19.3,8.7955,8.78416,8.80000,
1/11/2020,13,3,18.44,18.53,8.75825,8.74628,8.80000,
1/11/2020,13,4,17.78,17.87,8.7335,8.72135,8.70000,
1/11/2020,14,1,17.48,17.57,8.70175,8.69097,8.70000,
1/11/2020,14,2,17.14,17.19,8.7225,8.71355,8.70000,
1/11/2020,14,3,16.71,16.68,8.803,8.79515,8.80000,
1/11/2020,14,4,15.42,15.4,8.944,8.93571,8.90000,
1/11/2020,15,1,14.27,14.24,9.07975,9.07187,9.10000,
1/11/2020,15,2,13.26,13.25,9.22025,9.21172,9.20000,
1/11/2020,15,3,13.03,13.03,9.37475,9.36539,9.40000,
1/11/2020,15,4,12.72,12.73,9.506,9.49714,9.50000,
1/11/2020,16,1,12.74,12.74,9.64225,9.63215,9.60000,
1/11/2020,16,2,12.69,12.7,9.76,9.74869,9.80000,
1/11/2020,16,3,12.67,12.67,9.84025,9.82914,9.80000,
1/11/2020,16,4,12.95,12.95,9.8765,9.86049,9.90000,
1/11/2020,17,1,13.22,13.22,9.857,9.83885,9.90000,
1/11/2020,17,2,13.28,13.28,9.42125,9.37363,9.40000,
1/11/2020,17,3,14.37,14.37,8.03775,7.97859,8.00000,
1/11/2020,17,4,15.26,15.26,6.46175,6.40082,6.40000,
1/11/2020,18,1,16.55,16.55,4.57975,4.52941,4.50000,
1/11/2020,18,2,18.82,18.82,2.9055,2.84757,2.80000,
1/11/2020,18,3,19.37,19.37,1.14675,1.09027,1.10000,
1/11/2020,18,4,19.82,19.82,0.186,0.17364,0.20000,
1/11/2020,19,1,19.21,19.21,0.0365,0.03119,0.00000,
1/11/2020,19,2,18.66,18.66,0,0,0.00000,
1/11/2020,19,3,17.98,17.98,0,0,0.00000,
1/11/2020,19,4,17.94,17.96,0,0,0.00000,
1/11/2020,20,1,17.52,17.55,0,0,0.00000,
1/11/2020,20,2,17.03,17.08,0,0,0.00000,
1/11/2020,20,3,16.54,16.59,0,0,0.00000,
1/11/2020,20,4,15.33,15.47,0,0,0.00000,
1/11/2020,21,1,13.12,13.45,0,0,0.00000,
1/11/2020,21,2,12.48,12.8,0,0,0.00000,
1/11/2020,21,3,12.02,12.09,0,0,0.00000,
1/11/2020,21,4,11.93,11.77,0,0,0.00000,
1/11/2020,22,1,12.51,12.76,0,0,0.00000,
1/11/2020,22,2,9.09,8.01,0,0,0.00000,
1/11/2020,22,3,6.31,23.13,0,0,0.00000,
1/11/2020,22,4,5.1,10.03,0,0,0.00000,
1/11/2020,23,1,2.9,3.06,0,0,0.00000,
1/11/2020,23,2,1.92,2.27,0,0,0.00000,
1/11/2020,23,3,2.07,1.69,0,0,0.00000,
1/11/2020,23,4,2.06,0.62,0,0,0.00000,
1/11/2020,24,1,1.03,-0.37,0,0,0.00000,
1/11/2020,24,2,0.94,-0.47,0,0,0.00000,
1/11/2020,24,3,0.85,-0.56,0,0,0.00000,
1/11/2020,24,4,0.86,-0.55,0,0,0.00000,
1/12/2020,1,1,2.07,0.61,0,0,0.00000,
1/12/2020,1,2,1.42,-0.01,0,0,0.00000,
1/12/2020,1,3,1.99,0.5,0,0,0.00000,
1/12/2020,1,4,1.88,0.31,0,0,0.00000,
1/12/2020,2,1,2.62,0.97,0,0,0.00000,
1/12/2020,2,2,2.75,1.08,0,0,0.00000,
1/12/2020,2,3,2.74,1.08,0,0,0.00000,
1/12/2020,2,4,2.74,1.07,0,0,0.00000,
1/12/2020,3,1,2.79,1.1,0,0,0.00000,
1/12/2020,3,2,2.43,0.74,0,0,0.00000,
1/12/2020,3,3,2.77,1.06,0,0,0.00000,
1/12/2020,3,4,2.81,1.1,0,0,0.00000,
1/12/2020,4,1,2.79,1.09,0,0,0.00000,
1/12/2020,4,2,2.82,1.11,0,0,0.00000,
1/12/2020,4,3,2.8,1.1,0,0,0.00000,
1/12/2020,4,4,2.8,1.08,0,0,0.00000,
1/12/2020,5,1,2.27,0.58,0,0,0.00000,
1/12/2020,5,2,2.71,0.98,0,0,0.00000,
1/12/2020,5,3,2.8,1.09,0,0,0.00000,
1/12/2020,5,4,2.81,1.11,0,0,0.00000,
1/12/2020,6,1,2.82,1.1,0,0,0.00000,
1/12/2020,6,2,2.8,1.1,0,0,0.00000,
1/12/2020,6,3,2.77,1.08,0,0,0.00000,
1/12/2020,6,4,2.79,1.1,0,0,0.00000,
1/12/2020,7,1,2.79,1.1,0,0,0.00000,
1/12/2020,7,2,2.84,1.05,0,0,0.00000,
1/12/2020,7,3,2.87,1.03,0,0,0.00000,
1/12/2020,7,4,3.49,1.69,0,0,0.00000,
1/12/2020,8,1,3.06,1.3,0,0,0.00000,
1/12/2020,8,2,4.46,2.58,0,0,0.00000,
1/12/2020,8,3,4.96,2.84,0,0,0.00000,
1/12/2020,8,4,5.79,3.2,0,0,0.00000,
1/12/2020,9,1,6.55,3.87,0.12975,0.13466,0.10000,
1/12/2020,9,2,6.74,3.63,0.418,0.429,0.40000,
1/12/2020,9,3,7.7,4.41,1.61675,1.68798,1.70000,
1/12/2020,9,4,6.93,3.53,3.97275,4.04901,4.10000,
1/12/2020,10,1,6.29,3.26,5.99775,6.05215,6.10000,
1/12/2020,10,2,8.56,3.7,7.662,7.70406,7.70000,
1/12/2020,10,3,10.6,2.73,9.1395,9.15663,9.20000,
1/12/2020,10,4,10.12,2.77,8.79925,8.77626,8.80000,
1/12/2020,11,1,9.61,3.11,7.912,7.82722,7.80000,
1/12/2020,11,2,9.03,5.48,8.11275,8.15405,8.20000,
1/12/2020,11,3,8.97,6.78,8.00225,8.00957,8.00000,
1/12/2020,11,4,9.12,6.91,8.63875,8.63123,8.60000,
1/12/2020,12,1,9.68,7.5,9.0955,9.08487,9.10000,
1/12/2020,12,2,9.72,7.72,8.798,8.7826,8.80000,
1/12/2020,12,3,10.14,8.47,8.32425,8.26915,8.30000,
1/12/2020,12,4,10.74,10,8.0855,8.10196,8.10000,
1/12/2020,13,1,11.33,11.21,8.206,8.20428,8.20000,
1/12/2020,13,2,10.81,10.18,7.98925,7.95685,8.00000,
1/12/2020,13,3,11.07,10.85,7.87475,7.87936,7.90000,
1/12/2020,13,4,11.42,11.42,7.667,7.67829,7.70000,
